key,name,description,gender,image,birthdate,deathdate
Q56434915,김영숙,정치인 김동조의 자녀,F,,19470101,
Q56434882,김영애,모건스탠리 부사장,F,,,
Q56812299,김영자,상인 김정환의 자녀,F,,,
Q56434940,김영자,정치인 김동조의 자녀,F,,19500620,
Q1062006,김영주,North Korean politician and Kim il-sung young brother,M,,19200921,
Q12588105,김영한,교사,M,,19000101,19800101
Q56651591,김영혜,교육자 김원규의 자녀,F,,19510101,
Q56533687,김영호,"전경련 이사, 숭실대 이사",M,,19440101,
Q7849225,김예리,대한민국의 사업가,F,,19511227,
Q705212,김옥,Kim Jong-Il's personal secretary,F,http://commons.wikimedia.org/wiki/Special:FilePath/William%20Cohen%2C%20Jo%20Myong%20Rok%2C%20Kim%20Ok%20%28Pentagon%20in%20Washington%29.jpg,19640828,
Q625650,김옥숙,노태우 전 대통령의 배우자,F,,19350311,
Q12588156,김요협,조선말기의 문신,M,,18330101,19090101
Q1580046,김용건,South Korean actor,M,,19460508,
Q12588172,김용림,South Korean actress,F,,19400303,
Q625821,김용식,대한민국의 전 외교부 장관,M,http://commons.wikimedia.org/wiki/Special:FilePath/%EA%B9%80%EC%9A%A9%EC%8B%9D%28%EC%99%B8%EA%B5%90%EA%B4%80%29circa1974.png,19131111,19950331
Q12588209,김용주,일제 강점기와 대한민국의 기업인,M,,19050729,19850127
Q56813075,김우기,"대한민국의 의료인, 교수",M,,19420101,
Q485829,김우중,"기업가, 대우그룹 창업자",M,,19361217,
Q56651587,김원규,"대한민국의 교육자, 전 교육감",M,,19040101,19680101
Q56668943,김원만,"한학자, 장성향교의 전교",M,,,
Q27906365,김원호,badminton player,M,,19990602,
Q56812340,김유영,바이올리니스트,F,,,
Q16177593,김윤남,기업인 김신석의 자녀,F,,19240625,20130605
Q496572,김윤옥,First Lady of South Korea,F,http://commons.wikimedia.org/wiki/Special:FilePath/Korean%20Cuisine%20to%20the%20World%202009%20-%204342406373.jpg,19470326,
Q56813602,김은주,기업가 김종대의 자녀,F,,19550101,
