key,name,description,gender,image,birthdate,deathdate
Q12588209,김용주,일제 강점기와 대한민국의 기업인,M,,19050729,19850127
Q56813075,김우기,"의료인, 교수",M,,19420101,
Q485829,김우중,"기업가, 대우그룹 창업자",M,,19361217,
Q57312654,김운식,일제강점기 소작쟁의운동가,M,,18941211,19740210
Q56651587,김원규,"교육자, 전 교육감",M,,19040101,19680101
Q56668943,김원만,"한학자, 장성향교의 전교",M,,,
Q27906365,김원호,badminton player,M,,19990602,
Q56812340,김유영,바이올리니스트,F,,,
Q16177593,김윤남,기업인 김신석의 자녀,F,,19240625,20130605
Q496572,김윤옥,영부인,F,https://commons.wikimedia.org/wiki/Special:FilePath/Korean%20Cuisine%20to%20the%20World%202009%20-%204342406373.jpg,19470326,
Q12966411,김은서,배우,F,,19980829,
Q56813602,김은주,기업가 김종대의 자녀,F,,19550101,
Q4934381,김을동,"정치인, 연기자",F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Eul-Dong.jpg,19450905,
Q12588365,김응수,배우,M,,19610212,
Q16177950,김익기,국회의원,M,,19160219,19921001
Q12588400,김인득,"기업가, 벽산그룹 창업주",M,,19150817,19970710
Q41117,김일성,북한의 초대 최고 지도자,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Il-sung%20in%201950.jpg,19120415,19940708
Q16080365,김일우,남자 배우 (1953년-2004년),M,,19530524,20040613
Q56882153,김재민,한화그룹 창업주 김종희의 아버지,M,,,
Q12588486,김재열,기업인,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jae-Yeol%20from%20acrofan.jpg,19681014,
Q57019811,김재정,"기업가, 전 다스 대주주",M,,19480101,20100207
Q16080380,김재춘,"8-9대 국회의원, 3대 중앙정보부장",M,,19270604,20140102
Q6408844,김재호,법조인,M,,19630101,
Q55728317,김재호,언론인,M,,,
Q56804679,김재희,조선 후기의 부농,M,,,
Q317824,김정남,북한의 정치인,M,,19710510,20170213
Q15125241,김정민,"가수, 배우",M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-Min%20%28born%201968%29%20from%20acrofan.jpg,19680823,
Q56698591,김정숙,교사 김영한의 자녀,F,,19370101,
Q181993,김정숙,북한의 정치인,F,,19300101,
Q463949,김정숙,"북한의 정치인, 조선의 독립운동가",F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jeong%20Suk%201.jpg,19171224,19490922
Q29881198,김정숙,"영부인으로, 문재인 대통령의 부인",F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-sook%281954%29.jpg,19541115,
Q56226,김정은,북한의 국가원수,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20and%20Trump%20standing%20next%20to%20each%20other%20%28cropped%29.jpg,19840108,
Q10665,김정일,북한의 국가 원수,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-il%20on%20August%2024%2C%202011.jpg,19410216,20111217
Q12588578,김정주,"기업가, 넥슨 창업주",M,,19680222,
Q385795,김정철,son of Kim Jong-il,M,,19810925,
Q489934,김정화,South Korean actress,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jung-hwa%2C%202010%20%28cropped%29.jpg,19830909,
Q56812296,김정환,기업가 김종대의 아버지,M,,,
Q56812282,김종대,"기업인, 전 효성기계 회장",M,,19210302,20030216
Q12588656,김종량,전 한양대 총장,M,,19500904,
Q12588679,김종식,국회의원 (1935),M,,19350110,20090621
Q12588692,김종진,가수,M,https://commons.wikimedia.org/wiki/Special:FilePath/Spring%20Summer%20Autumn%20Winter.jpg,19621219,
Q12588697,김종철,국회의원 (1920),M,,19201107,19861104
Q246167,김종필,정치인,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Jong-pil%201999.png,19260107,20180623
Q6408475,김종희,"기업가, 한화그룹 창업주",M,,19221112,19810101
Q490001,김좌진,"군인, 청산리 전투의 지휘관",M,https://commons.wikimedia.org/wiki/Special:FilePath/KimJwaJin.gif,18891216,19300124
Q14864448,김주애,김정은과 이설주의 딸,F,,20130219,
Q12966460,김주일,배우,F,,19760127,
Q28607727,김중수,badminton player,M,,19600417,
Q6408879,김지미,배우,F,,19400715,
Q18550343,김지수,,F,,,
Q12588811,김지연,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Ji-Yeon.jpg,19780301,
Q6679200,김지영,South Korean actress,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Ji-young%20%28actress%2C%20born%201974%29%20from%20acrofan.jpg,19740907,
Q56435884,김지용,전 용평리조트 상무,M,,,
Q7204311,김지호,배우,F,,19740722,
Q6408910,김진규,"배우, 감독",M,,19220406,19980618
Q12966451,김진근,배우,M,,19670101,
Q12588854,김진민,드라마 PD,M,,19720101,
Q12588862,김진수,배우,M,,19710220,
Q16179779,김진아,배우,M,,19631024,20140820
Q56533201,김창호,전 숭실대 이사장,M,,19350101,
Q22973181,김채영,바둑 기사,F,,19960115,
Q495480,김책,북한의 정치인,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Chaek.jpg,19030814,19510131
Q57020182,김춘,기업가 김시구의 자녀,F,,19330101,
Q16178675,김태동,일제 강점기 관료,M,,19180308,19820208
Q56434241,김태령,일민미술관 관장,F,,,
Q11704505,김태용,"영화 감독, 각본가",M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Tae-Yong.jpg,19691209,
Q12589044,김태욱,가수,M,,19690905,
Q56651569,김태호,전 충북대 교수,M,,19500101,
Q28355519,김태호,정치인,M,,19350303,20020710
Q56660168,김태효,"교수, 관료",M,,19670101,
Q464574,김태희,"배우, 모델",F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Tae-hee.jpg,19800329,
Q710805,김평일,북한의 외교관,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Pyong-il.jpg,19540810,
Q10855915,김한길,정치인,M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Han-Gil%20%28cropped%29.jpg,19530917,
Q1280778,김한솔,Korean student,M,,19950616,
Q56668947,김향식,한학자 김원만의 자녀,F,,,
Q41919799,김향임,조승희의 어머니,F,,,
Q16080674,김혁,South Korean actor,M,,19821221,
Q56533257,김형남,전 숭실대 총장,M,,19050101,19780101
Q56664951,김형신,정치인 김익기의 자녀,F,,19530101,
Q56664874,김형일,정치인 김익기의 자녀,F,,19460101,
Q6408801,김형주,South Korean judoka,M,,19760314,
Q489279,김형직,독립 운동가,M,https://commons.wikimedia.org/wiki/Special:FilePath/%E9%87%91%E4%BA%A8%E7%A8%B7%201.jpg,18940710,19260605
Q27824719,김혜정,badminton player,F,,19980103,
Q56839624,김호남,박정희의 배우자,F,,19200101,19910101
Q12589318,김호진,배우,M,https://commons.wikimedia.org/wiki/Special:FilePath/LG%20Dios%20Built-In%20Cooking%20Class%20with%20Kim%20Ho-Jin.jpg,19700505,
Q12589320,김홍걸,정치인,M,,19631112,
Q12589329,김홍업,정치인,M,,19500729,
Q12589333,김홍일,정치인,M,,19480121,
Q56880093,김화중,"기업가, 희성금속 회장",M,,19430101,
Q47529,김황식,"변호사, 정치인",M,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Hwang%20Sik-1-1.jpg,19480809,
Q483661,김효진,배우,F,https://commons.wikimedia.org/wiki/Special:FilePath/Kim%20Hyo-jin%2C%202013%20%28cropped%29.jpg,19840210,
